CH1 1.0V  ,CH2 1.0V  ,20mS 
Probe:X1 ,Probe:X1 ,
099,105,
099,105,
099,105,
099,100,
099,091,
099,081,
099,081,
100,074,
100,074,
100,079,
100,079,
100,089,
099,099,
099,105,
099,105,
099,105,
099,099,
099,089,
099,080,
099,074,
100,074,
099,074,
099,080,
099,090,
100,099,
100,099,
100,105,
099,105,
099,098,
100,088,
100,088,
100,079,
100,073,
099,074,
099,074,
099,081,
100,091,
099,100,
099,106,
099,106,
099,104,
099,097,
100,087,
099,078,
099,078,
099,073,
100,075,
099,082,
100,092,
100,092,
099,101,
099,106,
099,104,
100,096,
100,096,
099,086,
100,077,
100,073,
100,073,
100,076,
100,083,
099,093,
100,102,
099,102,
099,106,
099,103,
099,095,
099,085,
100,085,
100,076,
099,073,
099,076,
099,084,
099,084,
099,094,
099,103,
099,106,
100,106,
100,102,
099,094,
100,084,
100,076,
099,076,
099,073,
100,077,
099,085,
100,096,
100,096,
100,103,
100,106,
100,102,
100,093,
099,093,
100,083,
099,075,
099,073,
099,078,
099,078,
099,087,
099,097,
100,104,
100,104,
099,105,
100,101,
100,092,
099,082,
100,082,
100,074,
100,074,
100,078,
100,088,
100,088,
099,098,
099,105,
099,105,
099,100,
099,100,
099,090,
099,081,
100,074,
099,074,
100,074,
100,079,
100,089,
100,099,
099,099,
099,105,
099,105,
099,099,
099,089,
100,089,
100,080,
100,074,
100,074,
100,080,
100,080,
100,090,
100,100,
100,105,
100,105,
099,105,
100,098,
099,088,
099,079,
099,073,
099,073,
099,074,
099,081,
099,091,
099,091,
099,100,
099,106,
100,104,
100,097,
100,097,
099,087,
099,078,
100,073,
099,075,
100,075,
099,082,
099,092,
099,101,
100,106,
100,106,
100,103,
100,096,
100,086,
100,086,
100,077,
100,073,
100,076,
100,083,
099,083,
099,093,
099,102,
099,106,
099,103,
099,103,
099,095,
100,085,
099,077,
099,073,
099,073,
100,076,
100,084,
099,095,
099,103,
100,103,
099,106,
099,102,
099,094,
099,094,
100,084,
099,076,
099,073,
099,077,
099,077,
099,085,
099,096,
099,103,
099,106,
100,106,
100,102,
100,093,
100,083,
100,075,
100,075,
100,073,
100,078,
099,087,
099,097,
099,097,
099,104,
099,106,
099,101,
099,101,
100,092,
100,082,
100,074,
100,073,
100,073,
100,079,
099,088,
099,098,
099,105,
099,105,
099,105,
099,100,
099,090,
099,081,
100,081,
100,074,
099,074,
099,079,
